model,cv_roc_auc,test_roc_auc
Weighted_Rank_Ensemble,0.9151351240600734,0.8833333333333333
gradient_boosting,0.8918187964841108,0.8769230769230769
svm_rbf,0.901673940213494,0.8759615384615385
xgboost,0.9034769602720921,0.8727564102564103
svm_linear,0.8999938533407094,0.8708333333333333
lightgbm,0.9106890405064848,0.8695512820512821
elastic_net,0.8592005245149261,0.867948717948718
logistic,0.9030466941217449,0.867948717948718
random_forest,0.9076976663183559,0.8673076923076922
mlp,0.8904050648472556,0.8310897435897435
